Gene, Column, Accuracy
220114_s_at, 19478, 0.9861111111111112
208822_s_at, 8317, 0.9861111111111112
214710_s_at, 14086, 0.9722222222222222
211762_s_at, 11161, 0.9722222222222222
207069_s_at, 6595, 0.9722222222222222
200910_at, 438, 0.9722222222222222
222056_s_at, 21416, 0.9583333333333334
221970_s_at, 21330, 0.9583333333333334
219787_s_at, 19151, 0.9583333333333334
218355_at, 17720, 0.9583333333333334
217319_x_at, 16684, 0.9583333333333334
216661_x_at, 16031, 0.9583333333333334
214274_s_at, 13653, 0.9583333333333334
209189_at, 8683, 0.9583333333333334
208581_x_at, 8079, 0.9583333333333334
208147_s_at, 7655, 0.9583333333333334
206461_x_at, 5987, 0.9583333333333334
205813_s_at, 5340, 0.9583333333333334
203554_x_at, 3081, 0.9583333333333334
201893_x_at, 1421, 0.9583333333333334
201453_x_at, 981, 0.9583333333333334
201293_x_at, 821, 0.9583333333333334
33494_at, 21787, 0.9444444444444444
221498_at, 20861, 0.9444444444444444
220446_s_at, 19810, 0.9444444444444444
220432_s_at, 19796, 0.9444444444444444
219588_s_at, 18952, 0.9444444444444444
218755_at, 18119, 0.9444444444444444
218009_s_at, 17374, 0.9444444444444444
218002_s_at, 17367, 0.9444444444444444
217797_at, 17162, 0.9444444444444444
217546_at, 16911, 0.9444444444444444
217165_x_at, 16532, 0.9444444444444444
215014_at, 14388, 0.9444444444444444
214320_x_at, 13699, 0.9444444444444444
214039_s_at, 13418, 0.9444444444444444
213375_s_at, 12756, 0.9444444444444444
213175_s_at, 12557, 0.9444444444444444
212724_at, 12109, 0.9444444444444444
212621_at, 12006, 0.9444444444444444
210481_s_at, 9957, 0.9444444444444444
209836_x_at, 9322, 0.9444444444444444
209714_s_at, 9202, 0.9444444444444444
209668_x_at, 9157, 0.9444444444444444
209614_at, 9104, 0.9444444444444444
209365_s_at, 8858, 0.9444444444444444
208079_s_at, 7588, 0.9444444444444444
207804_s_at, 7325, 0.9444444444444444
207608_x_at, 7129, 0.9444444444444444
207244_x_at, 6769, 0.9444444444444444
206797_at, 6323, 0.9444444444444444
206753_at, 6279, 0.9444444444444444
206380_s_at, 5906, 0.9444444444444444
205911_at, 5438, 0.9444444444444444
205866_at, 5393, 0.9444444444444444
204825_at, 4352, 0.9444444444444444
204428_s_at, 3955, 0.9444444444444444
204326_x_at, 3853, 0.9444444444444444
203666_at, 3193, 0.9444444444444444
203429_s_at, 2956, 0.9444444444444444
203316_s_at, 2843, 0.9444444444444444
202144_s_at, 1672, 0.9444444444444444
201663_s_at, 1191, 0.9444444444444444
201472_at, 1000, 0.9444444444444444
201327_s_at, 855, 0.9444444444444444
200843_s_at, 371, 0.9444444444444444
35820_at, 21834, 0.9305555555555556
221570_s_at, 20933, 0.9305555555555556
221188_s_at, 20551, 0.9305555555555556
220496_at, 19860, 0.9305555555555556
220017_x_at, 19381, 0.9305555555555556
219543_at, 18907, 0.9305555555555556
218424_s_at, 17789, 0.9305555555555556
216058_s_at, 15430, 0.9305555555555556
216025_x_at, 15397, 0.9305555555555556
214621_at, 13999, 0.9305555555555556
213629_x_at, 13009, 0.9305555555555556
212661_x_at, 12046, 0.9305555555555556
212639_x_at, 12024, 0.9305555555555556
212554_at, 11939, 0.9305555555555556
212551_at, 11936, 0.9305555555555556
211978_x_at, 11365, 0.9305555555555556
211931_s_at, 11319, 0.9305555555555556
211750_x_at, 11150, 0.9305555555555556
211378_x_at, 10794, 0.9305555555555556
210524_x_at, 9993, 0.9305555555555556
209687_at, 9175, 0.9305555555555556
209447_at, 8940, 0.9305555555555556
209219_at, 8713, 0.9305555555555556
208821_at, 8316, 0.9305555555555556
206262_at, 5788, 0.9305555555555556
205019_s_at, 4546, 0.9305555555555556
204745_x_at, 4272, 0.9305555555555556
204641_at, 4168, 0.9305555555555556
203721_s_at, 3248, 0.9305555555555556
203145_at, 2673, 0.9305555555555556
202861_at, 2389, 0.9305555555555556
202679_at, 2207, 0.9305555555555556
202243_s_at, 1771, 0.9305555555555556
201899_s_at, 1427, 0.9305555555555556
201890_at, 1418, 0.9305555555555556
201771_at, 1299, 0.9305555555555556
201088_at, 616, 0.9305555555555556
200830_at, 358, 0.9305555555555556
200717_x_at, 245, 0.9305555555555556
